"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Title 1","Longueur du Title 1","Largeur en pixels du Title 1","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Meta Keywords 1","Longueur des Meta Keywords 1","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Meta Robots 1","Balise X-Robots 1","Meta Refresh 1","Élément de lien en version canonique 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Élément de lien amphtml","Taille (octets)","Transféré (octets)","Total transféré (en octets)","CO2 (mg)","Empreinte carbone","Nombre de mots","Nombre de phrases","Moyenne de mots par phrase","Score de lisibilité de Flesch","Lisibilité","Ratio texte","Crawl profondeur","Profondeur du dossier","Link Score","Liens entrants","Liens entrants uniques","Liens entrants JS uniques","% du total","Liens sortants","Liens sortants uniques","Liens sortants JS uniques","Liens sortants externes","Liens sortants externes uniques","Liens sortants JS externes uniques","Quasi-doublon le plus proche","Nombre de quasi-doublons","Erreurs d'orthographe","Erreurs de grammaire","Hachage","Temps de réponse","Last Modified","URL de redirection","Type de redirection","Cookies","Language","Version HTTP","Lien alternate mobile","Adresse sémantiquement similaire la plus proche","Score de similarité sémantique","Nbre sémantiquement similaires","Score de pertinence sémantique","Adresse codée en URL","Horodatage du crawl"
"https://www.oppy.ai/","text/html; charset=UTF-8","200","OK","Non indexable","Canonisé","Home - Oppycx","13","135","","0","0","","0","Touchez plus de clients où qu’ils soient, quand ils veulent !","61","","0","Solutions","9","Produits","8","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://opportunity-crm.com/","","","","","","297905","35339","35339","13,538","","739","136","5,434","57,648","Assez difficile","1,833","0","0","","85","80","0","93,020","68","26","0","5","5","0","","","","","1045b0e23ea147b19ecba5104c25d374","0,534","","","","","fr-FR","1.1","","","","","","https://www.oppy.ai/","2026-03-22 16:46:05"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1576","1576","1576","0,604","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,018","Fri, 27 Jun 2025 15:20:16 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kt-tabs.min.js?ver=3.5.11","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4370","4370","4370","1,674","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,040","Fri, 27 Jun 2025 15:20:41 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/themes/kadence/assets/css/header.min.css?ver=1.2.26","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","7401","7401","7401","2,835","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,069","Fri, 27 Jun 2025 15:20:16 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/popper.min.js?ver=3.5.11","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","254","254","254","0,097","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,059","Fri, 27 Jun 2025 15:20:19 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/uagb-button-child.min.js?ver=2.19.10","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","10752","10752","10752","4,119","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,037","Fri, 27 Jun 2025 15:20:19 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/ultimate-addons-for-gutenberg/assets/js/slick.min.js?ver=2.19.10","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1031","1031","1031","0,395","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,035","Fri, 27 Jun 2025 15:20:14 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","11063","11063","11063","4,238","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,044","Fri, 27 Jun 2025 15:20:16 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/plugins/kadence-blocks/includes/assets/js/kb-tippy.min.js?ver=3.5.11","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","1891","1891","1891","0,724","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,034","Fri, 27 Jun 2025 15:20:41 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/themes/kadence/assets/css/footer.min.css?ver=1.2.26","2026-03-22 16:46:08"
"https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","4740","4740","4740","1,816","","0","","","","","0,000","1","3","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,033","Thu, 05 Mar 2026 10:03:37 GMT","","","","","1.1","","","","","","https://www.oppy.ai/wp-content/themes/kadence-child/style.css?ver=bab062fd42cb01a60133b38393d88267","2026-03-22 16:46:08"
